0,470,500,981,969,1260,1150,3830,295,500,490,485,455,585,2200,2150,2113
475,0,410,847,1125,1210,1950,1820,210,435,950,920,1865,640,9223372036854775807,1195,1650
565,580,0,1321,1005,985,1630,1905,806,885,675,370,1060,870,2219,2055,2485
988,955,2305,0,505,2245,2030,1870,351,964,1135,1080,1480,1165,1515,1590,1640
1030,710,1245,328,0,380,1125,1820,9223372036854775807,1085,950,920,2300,1130,478,1780,540
1990,1020,2100,1189,495,0,1775,2355,905,1280,1080,1190,2340,2400,1700,2485,1695
820,660,505,1317,1115,1270,0,545,376,1865,2045,1985,1930,1885,1285,1765,1205
1780,750,1135,3281,1890,3560,545,0,36,1980,2100,2110,2050,2200,1424,1450,1390
2280,2200,2670,1919,1280,1540,3015,2920,0,2510,2265,2145,3510,3470,1520,2385,2829
1780,1800,565,737,945,1365,1920,3455,1015,0,260,235,1510,785,885,1025,2145
1870,1965,810,868,865,1215,2620,3550,1236,375,0,255,1505,955,1215,2230,1980
1860,1935,1860,775,860,1265,2655,3570,1271,455,280,0,1880,1640,1040,945,1430
1880,2095,1875,753,2055,4265,1950,3630,2045,1515,1835,865,0,1530,1290,1075,2045
1765,1935,1170,1321,1525,4215,2670,3445,1380,50,455,179,675,0,1510,915,2400
1415,1365,1405,240,787,1445,1739,1939,286,1195,1230,1180,1330,2480,0,855,510
2315,3125,2415,1656,1286,2300,1270,2065,15,1160,1220,1200,1310,2715,330,0,760
2130,2063,2003,1293,598,1525,605,635,111,1350,925,915,1025,2270,281,545,0
